OS,Category,Name,vCPU,ECU,Memory (GiB),Instance Storage (GB),Price/hour ($)
Windows,Storage Optimized,i3.8xlarge,32,99,244 GiB,4 x 1900 NVMe SSD,3.968
Windows,Storage Optimized,i3.16xlarge,64,200,488 GiB,8 x 1900 NVMe SSD,7.936
Windows,Storage Optimized,i3.metal,72,208,512 GiB,8 x 1900 NVMe SSD,7.936
Windows,Storage Optimized,h1.2xlarge,8,26,32 GiB,1 x 2000 HDD,0.836
Windows,Storage Optimized,h1.4xlarge,16,53.5,64 GiB,2 x 2000 HDD,1.672
Windows,Storage Optimized,h1.8xlarge,32,99,128 GiB,4 x 2000 HDD,3.344
Windows,Storage Optimized,h1.16xlarge,64,188,256 GiB,8 x 2000 HDD,6.688
Windows,Storage Optimized,d2.xlarge,4,14,30.5 GiB,3 x 2000 HDD,0.821
Windows,Storage Optimized,d2.2xlarge,8,28,61 GiB,6 x 2000 HDD,1.601
Windows,Storage Optimized,d2.4xlarge,16,56,122 GiB,12 x 2000 HDD,3.062
Windows,Storage Optimized,d2.8xlarge,36,116,244 GiB,24 x 2000 HDD,6.198
